"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2286","should successfully submit form and return 200 OK from server","chromium","2026-08-09","passed","2026-08-09","Contact Form E2E Tests","ui/contact.spec.ts","",""
"","1666","Verify product grid renders custom mocked API payload","chromium","2026-08-09","passed","2026-08-09","Product Search & Filtering Suite","ui/search.spec.ts","",""
"","2155","Verify searching for ""drill"" displays expected result header","chromium","2026-08-09","passed","2026-08-09","Product Search & Filtering Suite > Parameterized Product Search","ui/search.spec.ts","",""
"","2147","Verify searching for ""Hammer"" displays expected result header","chromium","2026-08-09","passed","2026-08-09","Product Search & Filtering Suite > Parameterized Product Search","ui/search.spec.ts","",""
"","3771","Verify category switching","chromium","2026-08-09","passed","2026-08-09","Categories Switching","ui/categories.spec.ts","",""
"","2428","Verify searching for ""Pliers"" displays expected result header","chromium","2026-08-09","passed","2026-08-09","Product Search & Filtering Suite > Parameterized Product Search","ui/search.spec.ts","",""
"","7307","check proceed button is disabled when address is empty","chromium","2026-08-09","passed","2026-08-09","","ui/checkout.spec.ts","",""
"","1888","Verify searching for ""GoldenAxe"" displays expected result header","chromium","2026-08-09","passed","2026-08-09","Product Search & Filtering Suite > Parameterized Product Search","ui/search.spec.ts","",""
"","1394","should fail to submit when email format is invalid","chromium","2026-08-09","passed","2026-08-09","Contact Form E2E Tests","ui/contact.spec.ts","",""
"","1277","authenticate via API","setup","2026-08-09","passed","2026-08-09","","setup/auth.setup.ts","",""
"","540","request main page","chromium","2026-08-09","passed","2026-08-09","","api/products.spec.ts","",""
"","981","request element","chromium","2026-08-09","passed","2026-08-09","","api/products.spec.ts","",""
"","2337","should redirect anonymous user to login page when trying to access account profile","chromium","2026-08-09","passed","2026-08-09","Unauthorized User Security - Checkout","ui/checkout.spec.ts","",""
"","10493","Verify successful purchase flow with ""Buy Now Pay Later""","chromium","2026-08-09","passed","2026-08-09","E2E Checkout & Purchase Suite","ui/e2e-purchase.spec.ts","",""
"","2748","check contact form","chromium","2026-08-09","passed","2026-08-09","","ui/checkout.spec.ts","",""
"","491","request non-existent product","chromium","2026-08-09","passed","2026-08-09","","api/products.spec.ts","",""
"","3641","Verify filtering products by single category checkbox","chromium","2026-08-09","passed","2026-08-09","Product Search & Filtering Suite","ui/search.spec.ts","",""
"","7550","Verify payment gateway 500 error handling during checkout","chromium","2026-08-09","passed","2026-08-09","E2E Checkout & Purchase Suite","ui/e2e-purchase.spec.ts","",""
"","533","login via api negative","chromium","2026-08-09","passed","2026-08-09","","api/products.spec.ts","",""
"","1","check different localization","chromium","2026-08-09","skipped","2026-08-09","Localization and Language Switching","ui/language.spec.ts","",""
"","536","login via api","chromium","2026-08-09","failed","2026-08-09","","api/products.spec.ts","",""
"","2235","check sign in @flaky","chromium","2026-08-09","failed","2026-08-09","","ui/auth.spec.ts","",""
"","8579","Verify invoice generation with mocked API response","chromium","2026-08-09","passed","2026-08-09","E2E Checkout & Purchase Suite","ui/e2e-purchase.spec.ts","",""
